name sigma sigma_e
NGC4203 175.3 8.3
NGC4203 176.8 3.3
NGC4203 168.8 3.8
NGC4203 169.1 3.7
NGC4214 40.2 103.5
NGC4212 51.7 15.8
NGC4217 117.3 17.2
NGC4216 190.3 6.9
NGC4215 140.4 4.5
NGC4222 59.6 37.3
NGC4250 132.1 13.3
NGC4245 91.8 6.9
NGC4248 48.3 33.7
NGC4253 101.9 41.4
NGC4256 181.4 6.8
NGC4256 196.6 5.2
NGC4254 70.1 10.2
NGC4255 177.7 14.1
NGC4258 119.2 5.8
NGC4260 148.3 5.1
NGC4261 314.0 4.1
NGC4274 97.2 6.6
NGC4278 262.2 4.5
NGC4286 48.7 29.5
NGC4293 106.0 9.3
NGC4298 74.2 16.6
NGC4298 29.2 27.5
NGC4309 35.7 19.9
NGC4309 32.7 32.3
NGC4312 73.4 17.2
NGC4335 293.5 6.9
MRK0050 117.8 25.6
NGC4342 274.1 2.7
NGC4350 130.0 6.7
NGC4370 104.8 16.2
NGC4389 18.0 28.2
NGC4388 105.7 9.8
NGC4394 77.6 7.8
NGC4403 185.5 10.8
NGC4414 115.6 5.1
NGC4419 118.9 5.2
NGC4441 87.7 23.0
NGC4449 17.4 26.9
NGC4448 96.4 7.9
NGC4450 118.2 4.7
NGC4460 17.3 26.4
NGC4459 174.1 5.8
NGC4469 97.5 7.9
NGC4473 185.9 4.0
NGC4486B 185.8 3.6
NGC4490 49.8 19.7
NGC4486A 82.4 16.9
NGC4501 146.5 5.4
NGC4504 31.5 27.2
NGC4527 132.5 14.6
NGC4536 97.3 7.9
NGC4548 104.4 5.9
UGC07767 79.4 10.3
NGC4555 318.9 5.4
NGC4565 166.4 4.8
NGC4564 174.0 3.4
IC3582 126.6 16.5
NGC4569 117.6 4.2
NGC4579 161.5 4.6
NGC4586 62.0 13.4
NGC4605 24.5 26.3
NGC4625 44.9 27.9
NGC4634 38.1 29.1
NGC4646 268.0 6.6
NGC4649 364.5 4.0
NGC4659 39.2 24.7
NGC4666 110.2 16.4
NGC4670 34.6 22.5
NGC4673 216.2 5.0
NGC4686 276.2 5.9
IC3773 37.1 17.4
NGC4698 128.9 5.2
NGC4699 153.4 11.8
IC3812 115.8 14.7
NGC4736 120.8 4.4
NGC4742 98.1 7.3
NGC4761 251.7 5.4
NGC4786 305.1 7.3
NGC4800 101.7 6.0
UGC08058 299.8 113.6
NGC4826 90.9 6.0
NGC4866 205.1 6.9
NGC4874 266.2 8.3
NGC4884 386.2 8.9
NGC4914 233.3 4.5
NGC4952 296.8 6.4
NGC4958 156.4 3.7
NGC4981 104.4 5.9
